PolyhedralSk(28;1),28,1,84,6,2,3,nb,f,1,[],[16],[],,RM(84;49),
PolyhedralSk(28;2),28,2,84,6,2,3,nb,f,1,[],[30],[],,RM(84;55),
PolyhedralSk(28;3),28,3,84,6,2,3,nb,f,1,[],[],[1],,,CM(84;1)+CM(84;2)
PolyhedralSk(28;4),28,4,126,9,2,2,nb,f,1,[],[16],[],,RM(126;26),
PolyhedralSk(29;1),29,1,58,4,2,4,nb,f,1,[],[],[1],,,CM(58;1)+CM(58;2)
PolyhedralSk(30;1),30,1,60,4,2,3,nb,f,1,[4],[12],[],RM(60;4),RM(60;58),
PolyhedralSk(30;2),30,2,60,4,2,5,nb,f,1,[6],[],[],RM(60;8),,
PolyhedralSk(30;3),30,3,300,20,2,2,nb,f,238923629199360000,[36],[],[],RM(300;7),,
PolyhedralSk(31;1),31,1,93,6,2,3,nb,f,1,[],[],[1],,,CM(93;1)+CM(93;2)
PolyhedralSk(32;1),32,1,48,3,2,5,b,f,1,[1;3],[],[],RM(48;4)+RM(48;6),,
PolyhedralSk(32;2),32,2,64,4,2,4,b,f,1,[1],[],[],RM(64;3),,
PolyhedralSk(32;3),32,3,80,5,2,5,b,f,12,[5],[],[],RM(80;3),,
PolyhedralSk(32;4),32,4,80,5,2,4,nb,f,6,[9],[],[],RM(80;5),,
PolyhedralSk(32;5),32,5,96,6,2,3,b,f,60,[9],[],[],RM(96;6),,
PolyhedralSk(32;6),32,6,96,6,2,4,b,f,1,[9],[],[],RM(96;7),,
PolyhedralSk(33;1),33,1,363,22,2,2,nb,f,262815992119296000000,[45],[],[],RM(363;5),,
PolyhedralSk(34;1),34,1,68,4,2,5,b,f,1,[],[],[1],,,CM(68;1)+CM(68;2)
PolyhedralSk(36;1),36,1,72,4,2,6,b,f,1,[1],[],[],RM(72;3),,
PolyhedralSk(36;2),36,2,72,4,2,4,b,f,1,[],[],[10],,,CM(72;3)+CM(72;4)
PolyhedralSk(36;3),36,3,108,6,2,4,nb,f,1,[1],[],[],RM(108;3),,
PolyhedralSk(36;4),36,4,108,6,2,4,b,f,1,[10],[],[],RM(108;6),,
PolyhedralSk(36;5),36,5,108,6,2,4,b,f,24,[10],[],[],RM(108;7),,
PolyhedralSk(36;6),36,6,126,7,2,3,nb,f,1,[],[8],[],,RM(126;24),
PolyhedralSk(36;7),36,7,144,8,2,4,b,f,2,[],[],[19],,,CM(144;1)+CM(144;2)
PolyhedralSk(36;8),36,8,162,9,2,3,nb,f,1,[10],[47],[],RM(162;4),RM(162;58),
PolyhedralSk(36;9),36,9,180,10,2,3,nb,f,1,[13],[],[],RM(180;5),,
PolyhedralSk(36;10),36,10,180,10,2,2,nb,f,1,[],[26;56],[],,RM(180;115)+RM(180;123),
PolyhedralSk(36;11),36,11,360,20,2,2,nb,f,786432,[],[86],[],,RM(360;346),
PolyhedralSk(36;12),36,12,432,24,2,2,nb,f,381608820557217792000000,[55],[],[],RM(432;9),,
PolyhedralSk(37;1),37,1,74,4,2,5,nb,f,1,[],[],[1],,,CM(74;1)+CM(74;2)
PolyhedralSk(37;2),37,2,111,6,2,3,nb,f,1,[],[],[1],,,CM(111;1)+CM(111;2)
PolyhedralSk(38;1),38,1,57,3,2,5,b,f,1,[],[],[1],,,CM(57;3)+CM(57;4)
PolyhedralSk(39;1),39,1,117,6,2,4,nb,f,1,[],[],[1],,,CM(117;1)+CM(117;2)
PolyhedralSk(39;2),39,2,507,26,2,2,nb,f,714371712083111706624000000,[66],[],[],RM(507;5),,
PolyhedralSk(40;1),40,1,80,4,2,5,nb,f,1,[5],[],[],RM(80;4),,
PolyhedralSk(40;2),40,2,80,4,2,6,b,f,1,[],[],[1],,,CM(80;1)+CM(80;2)
PolyhedralSk(40;3),40,3,120,6,2,4,b,f,1,[11],[],[],RM(120;3),,
PolyhedralSk(40;4),40,4,120,6,2,3,nb,f,1,[17],[],[],RM(120;7),,
PolyhedralSk(40;5),40,5,160,8,2,3,nb,f,6,[],[],[21],,,CM(160;4)+CM(160;8)
PolyhedralSk(40;6),40,6,240,12,2,3,b,f,12,[],[],[41],,,CM(240;1)+CM(240;4)
PolyhedralSk(41;1),41,1,82,4,2,4,nb,f,1,[],[],[1],,,CM(82;1)+CM(82;2)
PolyhedralSk(42;1),42,1,63,3,2,6,b,f,1,[],[],[1],,,CM(63;3)+CM(63;4)
PolyhedralSk(42;2),42,2,84,4,2,5,nb,f,1,[10],[23],[],RM(84;6),RM(84;54),
PolyhedralSk(42;3),42,3,84,4,2,5,b,f,1,[],[16],[],,RM(84;50),
PolyhedralSk(42;4),42,4,168,8,2,3,nb,f,1,[8;22],[],[],RM(168;3)+RM(168;13),,
PolyhedralSk(42;5),42,5,168,8,2,4,nb,f,1,[8],[44],[],RM(168;4),RM(168;138),
PolyhedralSk(42;6),42,6,168,8,2,3,nb,f,1,[22],[],[],RM(168;14),,
PolyhedralSk(42;7),42,7,168,8,2,3,nb,f,1,[],[44],[],,RM(168;136),
PolyhedralSk(42;8),42,8,168,8,2,3,b,f,1,[],[44],[],,RM(168;139),
PolyhedralSk(42;9),42,9,252,12,2,3,nb,f,524288,[],[],[22],,,CM(252;5)+CM(252;6)
PolyhedralSk(42;10),42,10,273,13,2,3,nb,f,2,[],[51],[],,RM(273;21),
PolyhedralSk(42;11),42,11,588,28,2,2,nb,f,1690203470788642297872384000000,[78],[],[],RM(588;5),,
PolyhedralSk(43;1),43,1,129,6,2,4,nb,f,1,[],[],[1],,,CM(129;1)+CM(129;2)
PolyhedralSk(45;1),45,1,90,4,2,5,nb,f,1,[],[],[1],,,CM(90;1)+CM(90;2)
PolyhedralSk(45;2),45,2,180,8,2,3,nb,f,1,[],[17;65],[],,RM(180;113)+RM(180;129),
PolyhedralSk(45;3),45,3,180,8,2,2,nb,f,2,[],[47],[],,RM(180;119),
PolyhedralSk(45;4),45,4,675,30,2,2,nb,f,4969198204118608355744808960000000,[91],[],[],RM(675;5),,
PolyhedralSk(48;1),48,1,96,4,2,6,b,f,2,[9],[],[],RM(96;8),,
PolyhedralSk(48;2),48,2,96,4,2,4,b,f,1,[9],[],[],RM(96;9),,
PolyhedralSk(48;3),48,3,120,5,2,4,b,f,2,[17],[],[],RM(120;8),,
PolyhedralSk(48;4),48,4,144,6,2,4,nb,f,1,[1],[],[],RM(144;3),,
PolyhedralSk(48;5),48,5,144,6,2,4,b,f,2,[25],[],[],RM(144;15),,
PolyhedralSk(48;6),48,6,144,6,2,3,nb,f,1,[25],[],[],RM(144;16),,
PolyhedralSk(48;7),48,7,168,7,2,4,b,f,3,[19],[],[],RM(168;11),,
PolyhedralSk(48;8),48,8,288,12,2,3,nb,f,1,[25],[],[],RM(288;5),,
PolyhedralSk(48;9),48,9,288,12,2,4,b,f,32,[],[98],[],,RM(288;510),
PolyhedralSk(48;10),48,10,360,15,2,3,nb,f,2,[37],[],[],RM(360;11),,
PolyhedralSk(48;11),48,11,384,16,2,3,nb,f,4194304,[41],[],[],RM(384;19)+RM(384;20),,
PolyhedralSk(48;12),48,12,576,24,2,2,nb,f,2282521714753536,[73],[],[],RM(576;10),,
PolyhedralSk(48;13),48,13,768,32,2,2,nb,f,17889113534826990080681312256000000000,[105],[],[],RM(768;41),,
PolyhedralSk(49;1),49,1,98,4,2,6,nb,f,1,[1],[],[],RM(98;3),,
PolyhedralSk(49;2),49,2,147,6,2,4,nb,f,1,[1],[],[],RM(147;3),,
PolyhedralSk(49;3),49,3,147,6,2,4,nb,f,1,[],[],[1],,,CM(147;1)+CM(147;2)
PolyhedralSk(50;1),50,1,75,3,2,7,b,f,1,[1;6],[],[],RM(75;4)+RM(75;6),,
